,20-period CMF
347,0.023984779985415455
348,-0.03177034819899184
349,0.01639510800174317
350,0.01955824534509146
351,0.038990302532430465
352,0.05572852467220575
353,0.05386937355562294
354,0.0032757858040550676
355,-0.034650770704440795
356,-0.1270701165266033
357,-0.06787456070338202
358,-0.14462691857602486
359,-0.15777666797357484
360,-0.1820833610252292
361,-0.18032757610934275
362,-0.2261788090950975
363,-0.19423165988564836
364,-0.21485108669206432
365,-0.2533607854679826
366,-0.24945999362784924
367,-0.2286202229626175
368,-0.1765263020174026
369,-0.23891154640419032
370,-0.26439648319031045
371,-0.2833773008673591
372,-0.2520060218549729
373,-0.24020198270171647
374,-0.19697677603973268
375,-0.20924555144135087
376,-0.12121250364162715
377,-0.2006136809410253
378,-0.1569664429264029
379,-0.19249010988967105
380,-0.13744495370798182
381,-0.10495215472012664
382,-0.07491618086827749
383,-0.11729679769620469
384,-0.10615952391097205
385,-0.0676832868216391
386,-0.11061899556392733
387,-0.08769854988853142
388,-0.1597858029723359
389,-0.078249441763637
390,0.004914601189785322
391,0.01835704452151114
392,-0.06447099789378487
393,-0.12013952575937425
394,-0.1340988802523496
395,-0.08520006471692124
396,-0.12795753174251456
397,-0.06429855580815713
398,-0.037458804735405346
399,-0.007322668130873119
400,-0.022907723973194568
401,-0.0740124097534774
402,-0.02633245703876256
403,-0.010477056088468285
404,-0.0010795590483084433
405,-0.010939517030546962
406,0.032802662653541544
407,-0.009283534175558423
408,0.020883038077030475
409,-0.03946423095841012
410,-0.11227517769141859
411,-0.156893201429122
412,-0.13221502529992415
413,-0.13327600066828713
414,-0.12266308853872382
415,-0.18226012344667172
416,-0.20567261347571023
417,-0.25057745512854607
418,-0.2689097417119738
419,-0.2940440081445244
420,-0.284610138419309
421,-0.2719418997130159
422,-0.30268411007919915
423,-0.24999365712555655
424,-0.26043170294975776
425,-0.19410114229997122
426,-0.2088801289201055
427,-0.21291041351434067
428,-0.21389337666665015
429,-0.15043205766168619
430,-0.1275804451023921
431,-0.1487354578035259
432,-0.17272756737660222
433,-0.14153041349951406
434,-0.2011297590521
435,-0.19144137515433768
436,-0.19924602674476924
437,-0.24363443880773758
438,-0.19068358524103618
439,-0.21257867737423347
440,-0.20315001738884614
441,-0.13641440778786493
442,-0.17852213759523236
443,-0.16436323900079386
444,-0.17754662488088752
445,-0.2566322384325711
446,-0.29168708911482066
447,-0.29732501251419574
448,-0.3220328631677993
449,-0.3831659120306597
450,-0.363638450589354
451,-0.3817844355585095
452,-0.3762960764728239
453,-0.41685672702914106
454,-0.4003955451324556
455,-0.3484459979758242
456,-0.33021145682668507
457,-0.2607717897300763
458,-0.3537807382953635
459,-0.34811601843843537
460,-0.35595762719562557
461,-0.4134935793137741
462,-0.3743949971043407
463,-0.39238888492423163
464,-0.39427903290544253
465,-0.3156324457595618
466,-0.329924987086617
467,-0.3674101773565335
468,-0.3880105365996052
469,-0.3651358721632172
470,-0.35465808086797806
471,-0.27387575993403446
472,-0.22202938015174803
473,-0.14005542808233254
474,-0.16537784982766587
475,-0.18764651983337688
476,-0.21022814427555955
477,-0.2720260644266218
478,-0.27587542618808497
479,-0.23696973106136895
480,-0.23784202580764108
481,-0.16275436926560558
482,-0.15519390386644288
483,-0.16942565000070814
484,-0.08627513082355259
485,-0.13162818763925896
486,-0.03756342547455942
487,0.051866030028124156
488,0.03975873802039807
489,0.0033028348363908122
490,-0.008135456332414298
491,-0.011448236395498036
